,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
7,"('Red House', 'Jimi Hendrix')","('Little Girl Blue', 'Janis Joplin')","('Angry', 'The Rolling Stones')","('La Grange - 2005 Remaster', 'ZZ Top')","('Brain Damage', 'Pink Floyd')","(""Ain't Talkin' 'Bout Love - 2015 Remaster"", 'Van Halen')","(""Why Can't This Be Love"", 'Van Halen')","('If I Were a Carpenter - 2006 Remaster', 'Robert Plant')","(""(Don't Fear) The Reaper"", 'Blue Öyster Cult')",,,,,,,,,
20,"('People Are Strange', 'The Doors')","(""Love Ain't For Keeping"", 'The Who')","('Tush - 2006 Remaster', 'ZZ Top')","('A Feast of Friends - 2022 Remastered Version', 'Jim Morrison')",,,,,,,,,,,,,,
21,"('Highway Star', 'Deep Purple')","('Perfect Strangers', 'Deep Purple')","('Burn - 2002 Remaster', 'Deep Purple')","('Iron Man - 2012 - Remaster', 'Black Sabbath')","('N.I.B.', 'Black Sabbath')","('Sweet Leaf - 2014 Remaster', 'Black Sabbath')","('Simple Man', 'Lynyrd Skynyrd')","('That Smell', 'Lynyrd Skynyrd')","('In the Mood - 2006 Remaster', 'Robert Plant')","('The Pusher', 'Steppenwolf')",,,,,,,,
15,"('Hush - 1998 Remix', 'Deep Purple')","('Sunshine Of Your Love', 'Cream')","('Piece of My Heart', 'Janis Joplin')","('Ghost Song', 'Jim Morrison')","(""Mama, I'm Coming Home"", 'Ozzy Osbourne')","('Pretty Noose', 'Soundgarden')","('Fire of Unknown Origin', 'Blue Öyster Cult')",,,,,,,,,,,
-1,"('Black Night', 'Deep Purple')","('Pinball Wizard', 'The Who')","('The Needle And The Spoon', 'Lynyrd Skynyrd')","('Move Over', 'Janis Joplin')","('Shine On You Crazy Diamond (Pts. 1-5)', 'Pink Floyd')","(""Runnin' with the Devil - 2015 Remaster"", 'Van Halen')","(""Can't Stop Lovin' You"", 'Van Halen')","('Black Polished Chrome', 'Jim Morrison')","('An American Prayer', 'Jim Morrison')","('Bird of Prey', 'Jim Morrison')","('Outcast', 'The Animals')",,,,,,,
22,"(""Space Truckin'"", 'Deep Purple')","('Legs - 2008 Remaster', 'ZZ Top')","('Hey You', 'Pink Floyd')","('Tom Sawyer', 'Rush')","('High And Lonesome', 'Robert Plant')",,,,,,,,,,,,,
2,"('Who Are You', 'The Who')","('Sympathy For The Devil - 50th Anniversary Edition', 'The Rolling Stones')","('Comfortably Numb', 'Pink Floyd')","('Money', 'Pink Floyd')","('Astronomy', 'Blue Öyster Cult')",,,,,,,,,,,,,
1,"('Orchid - 2014 Remaster', 'Black Sabbath')","('Mercedes Benz', 'Janis Joplin')","('Eruption - 2015 Remaster', 'Van Halen')","('Stoned Immaculate', 'Jim Morrison')","('Hour for Magic', 'Jim Morrison')",,,,,,,,,,,,,
23,"('The Wizard - 2014 Remaster', 'Black Sabbath')","('Kozmic Blues', 'Janis Joplin')","('Limelight', 'Rush')","('Killing the Blues', 'Robert Plant')",,,,,,,,,,,,,,
16,"('Crossroads - Live', 'Cream')","('Sharp Dressed Man - 2008 Remaster', 'ZZ Top')","('Bark at the Moon', 'Ozzy Osbourne')","('Shot in the Dark', 'Ozzy Osbourne')",,,,,,,,,,,,,,
9,"('Sweet Home Alabama', 'Lynyrd Skynyrd')","('Blue Jean Blues - 2005 Remaster', 'ZZ Top')","('The Great Gig in the Sky', 'Pink Floyd')","('Hot for Teacher - 2015 Remaster', 'Van Halen')","('Dreamer', 'Ozzy Osbourne')","('Close My Eyes Forever', 'Ozzy Osbourne')","('Fell On Black Days', 'Soundgarden')","(""It's All over Now, Baby Blue"", 'The Animals')",,,,,,,,,,
18,"('Me and Bobby McGee', 'Janis Joplin')","('Gimme Shelter', 'The Rolling Stones')","('Angie - Remastered 2009', 'The Rolling Stones')","('Magic Carpet Ride', 'Steppenwolf')","('House Of The Rising Sun', 'The Animals')","(""Burnin' for You"", 'Blue Öyster Cult')","('Take Me Away', 'Blue Öyster Cult')",,,,,,,,,,,
